HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developeing Regions,HDI Rank (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) Average (1990-1999)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2000-2010)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2011-2021)"
38,Portugal,0.866,81.0,16.9,9.6,"33,155",3,PRT,Europe,Northern Hemisphere,Very High,,38,11.5,9.5,8.5
105,Paraguay,0.717,70.3,13.0,8.9,"12,349",-10,PRY,America,Southern Hemisphere,High,LAC,105,190.0,136.5,93.5
106,"Palestine, State of",0.715,73.5,13.4,9.9,"6,583",21,PSE,Asia,Northern Hemisphere,High,AS,106,91.0,57.5,34.5
42,Qatar,0.855,79.3,12.6,10.0,"87,134",-39,QAT,Asia,Northern Hemisphere,Very High,AS,42,15.5,12.0,9.5
53,Romania,0.821,74.2,14.2,11.3,"30,027",-4,ROU,Europe,Northern Hemisphere,Very High,,53,94.5,40.5,21.5
52,Russian Federation,0.822,69.4,15.8,12.8,"27,166",-1,RUS,Europe,Northern Hemisphere,Very High,,52,60.0,40.5,20.0
165,Rwanda,0.534,66.1,11.2,4.4,"2,210",6,RWA,Africa,Southern Hemisphere,Low,SSA,165,1225.0,766.5,298.5
35,Saudi Arabia,0.875,76.9,16.1,11.3,"46,112",-10,SAU,Asia,Northern Hemisphere,Very High,AS,35,32.5,21.5,17.5
172,Sudan,0.508,65.3,7.9,3.8,"3,575",-14,SDN,Africa,Northern Hemisphere,Low,AS,172,792.5,537.5,342.5
170,Senegal,0.511,67.1,9.0,2.9,"3,344",-10,SEN,Africa,Northern Hemisphere,Low,SSA,170,569.5,500.0,369.0
12,Singapore,0.939,82.8,16.5,11.9,"90,919",-10,SGP,Asia,Northern Hemisphere,Very High,EAP,12,12.5,11.5,9.0
155,Solomon Islands,0.564,70.3,10.3,5.7,"2,482",13,SLB,Oceania,Southern Hemisphere,Medium,EAP,155,329.5,193.0,119.0
181,Sierra Leone,0.477,60.1,9.6,4.6,"1,622",-1,SLE,Africa,Northern Hemisphere,Low,SSA,181,2760.0,1920.0,1195.0
125,El Salvador,0.675,70.7,12.7,7.2,"8,296",-8,SLV,America,Northern Hemisphere,Medium,LAC,125,94.5,63.5,49.5
44,San Marino,0.853,80.9,12.3,10.8,"52,654",-25,SMR,Europe,Northern Hemisphere,Very High,,44,,,
63,Serbia,0.802,74.2,14.4,11.4,"19,123",4,SRB,Europe,Northern Hemisphere,Very High,ECA,63,13.5,12.5,12.0
191,South Sudan,0.385,55.0,5.5,5.7,768,-1,SSD,Africa,Northern Hemisphere,Low,SSA,191,1880.0,1415.0,1110.0
138,Sao Tome and Principe,0.618,67.6,13.4,6.2,"4,021",13,STP,Africa,Northern Hemisphere,Medium,SSA,138,225.0,159.5,133.5
99,Suriname,0.73,70.3,13.0,9.8,"12,672",-6,SUR,America,Northern Hemisphere,High,LAC,99,212.0,184.5,129.5
45,Slovakia,0.848,74.9,14.5,12.9,"30,690",1,SVK,Europe,Northern Hemisphere,Very High,,45,10.0,7.0,5.5
