HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021),"Maternal Mortality Ratio (deaths per 100,000 live births) Average (1990-1999)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2000-2010)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2011-2021)"
133,Ghana,0.632,63.8,12.0,8.3,"5,745",-2,Africa,Northern Hemisphere,Medium,SSA,0.627,0.5885,0.5505,600.5,411.5,323.5
135,Guatemala,0.627,69.2,10.6,5.7,"8,723",-20,America,Northern Hemisphere,Medium,LAC,0.592,0.5665,0.511,195.0,145.0,108.5
136,Kiribati,0.624,67.4,11.8,8.0,"4,063",14,Oceania,Northern Hemisphere,Medium,EAP,,,,177.5,124.0,101.0
137,Honduras,0.621,70.1,10.1,7.1,"5,298",-1,America,Northern Hemisphere,Medium,LAC,0.536,0.5015000000000001,0.4485,124.0,79.5,68.5
138,Sao Tome and Principe,0.618,67.6,13.4,6.2,"4,021",13,Africa,Northern Hemisphere,Medium,SSA,0.6174999999999999,0.5745,0.5195000000000001,225.0,159.5,133.5
139,Namibia,0.615,59.3,11.9,7.2,"8,634",-23,Africa,Southern Hemisphere,Medium,SSA,0.55,0.5205,0.471,327.5,307.0,225.5
140,Timor-Leste,0.607,67.7,12.6,5.4,"4,461",7,Asia,Southern Hemisphere,Medium,EAP,,0.453,0.40800000000000003,1076.0,482.0,170.0
140,Vanuatu,0.607,70.4,11.5,7.1,"3,085",23,Oceania,Southern Hemisphere,Medium,EAP,,,,190.5,116.0,80.0
143,Nepal,0.602,68.4,12.9,5.1,"3,877",10,Asia,Northern Hemisphere,Medium,SA,0.7015,0.5905,0.482,782.0,429.0,235.5
145,Equatorial Guinea,0.596,60.6,9.7,5.9,"12,074",-47,Africa,Northern Hemisphere,Medium,SSA,,,,796.5,381.0,304.5
146,Cambodia,0.593,69.6,11.5,5.1,"4,079",3,Asia,Northern Hemisphere,Medium,EAP,0.6535,0.556,0.484,699.0,368.0,196.0
146,Zimbabwe,0.593,59.3,12.1,8.7,"3,810",9,Africa,Southern Hemisphere,Medium,SSA,0.6034999999999999,0.6085,0.5595,486.5,588.5,507.5
