HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021)
143,Nepal,0.602,68.4,12.9,5.1,"3,877",10,NPL,Asia,Northern Hemisphere,Medium,SA,0.7015,0.5905,0.482
13,New Zealand,0.937,82.5,20.3,12.9,"44,057",16,NZL,Oceania,Southern Hemisphere,Very High,,0.22,0.1805,0.124
54,Oman,0.816,72.5,14.6,11.7,"27,054",-2,OMN,Asia,Northern Hemisphere,Very High,AS,,0.335,0.314
161,Pakistan,0.544,66.1,8.7,4.5,"4,624",-19,PAK,Asia,Northern Hemisphere,Low,SA,0.79,0.673,0.5555
61,Panama,0.805,76.2,13.1,10.5,"26,957",-8,PAN,America,Northern Hemisphere,Very High,LAC,0.5265,0.5105,0.4495
84,Peru,0.762,72.4,15.4,9.9,"12,246",13,PER,America,Southern Hemisphere,High,LAC,0.5469999999999999,0.47050000000000003,0.40800000000000003
116,Philippines,0.699,69.3,13.1,9.0,"8,920",-3,PHL,Asia,Northern Hemisphere,Medium,EAP,0.505,0.481,0.438
80,Palau,0.767,66.0,15.8,12.5,"13,819",5,PLW,Oceania,Northern Hemisphere,High,EAP,,,
156,Papua New Guinea,0.558,65.4,10.4,4.7,"4,009",-4,PNG,Oceania,Southern Hemisphere,Medium,EAP,0.6625000000000001,0.6545000000000001,0.6885
34,Poland,0.876,76.5,16.0,13.2,"33,034",8,POL,Europe,Northern Hemisphere,Very High,,0.23450000000000001,0.1825,0.1305
38,Portugal,0.866,81.0,16.9,9.6,"33,155",3,PRT,Europe,Northern Hemisphere,Very High,,0.223,0.161,0.0935
105,Paraguay,0.717,70.3,13.0,8.9,"12,349",-10,PRY,America,Southern Hemisphere,High,LAC,0.5800000000000001,0.5225,0.46399999999999997
106,"Palestine, State of",0.715,73.5,13.4,9.9,"6,583",21,PSE,Asia,Northern Hemisphere,High,AS,,,
42,Qatar,0.855,79.3,12.6,10.0,"87,134",-39,QAT,Asia,Northern Hemisphere,Very High,AS,,0.541,0.38
53,Romania,0.821,74.2,14.2,11.3,"30,027",-4,ROU,Europe,Northern Hemisphere,Very High,,0.48,0.396,0.3115
