HDI rank,Country,Human Development Index (HDI Value) ,ISO3,Continent,Hemisphere,Human Development Groups,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021)
58,Uruguay,0.809,URY,America,Southern Hemisphere,Very High,0.406,0.351,0.2825
21,United States,0.921,USA,America,Northern Hemisphere,Very High,0.2855,0.2615,0.21
101,Uzbekistan,0.727,UZB,Asia,Northern Hemisphere,High,,0.3145,0.259
89,Saint Vincent and the Grenadines,0.751,VCT,America,Northern Hemisphere,High,,,0.39
115,Viet Nam,0.703,VNM,Asia,Northern Hemisphere,High,0.372,0.3215,0.308
140,Vanuatu,0.607,VUT,Oceania,Southern Hemisphere,Medium,,,
111,Samoa,0.707,WSM,Oceania,Southern Hemisphere,High,,,0.4485
183,Yemen,0.455,YEM,Asia,Northern Hemisphere,Low,0.807,0.8015000000000001,0.8095
109,South Africa,0.713,ZAF,Africa,Southern Hemisphere,High,0.485,0.4495,0.42300000000000004
154,Zambia,0.565,ZMB,Africa,Southern Hemisphere,Medium,0.657,0.617,0.565
146,Zimbabwe,0.593,ZWE,Africa,Southern Hemisphere,Medium,0.6034999999999999,0.6085,0.5595
